MATCH_WYID,MATCHLABEL,DATE,DATEUTC,MATCHSTATUS,COMPETITION_WYID,SEASON_WYID,ROUND_WYID,GAMEWEEK
5465944,"Midtjylland - Brøndby, 0 - 1",2023-08-20 18:00:00.000,2023-08-20 16:00:00.000,Played,335,188945,4429397,5
5466028,"OB - Brøndby, 0 - 3",2024-02-25 16:00:00.000,2024-02-25 15:00:00.000,Played,335,188945,4429397,19
5345401,"København - Brøndby, 4 - 1",2022-08-07 16:00:00.000,2022-08-07 14:00:00.000,Played,335,188039,4426706,4
5345477,"Brøndby - Viborg, 0 - 2",2022-11-13 16:00:00.000,2022-11-13 15:00:00.000,Played,335,188039,4426706,17
5465998,"Brøndby - AGF, 1 - 1",2023-11-06 19:00:00.000,2023-11-06 18:00:00.000,Played,335,188945,4429397,14
5227303,"Nordsjælland - Brøndby, 0 - 2",2022-02-20 16:00:00.000,2022-02-20 15:00:00.000,Played,335,187483,4424291,18
5345385,"Brøndby - AGF, 1 - 0",2022-07-17 18:00:00.000,2022-07-17 16:00:00.000,Played,335,188039,4426706,1
5465921,"Silkeborg - Brøndby, 1 - 2",2023-07-23 18:00:00.000,2023-07-23 16:00:00.000,Played,335,188945,4429397,1
5328120,"Brøndby - Midtjylland, 1 - 3",2022-04-25 19:00:00.000,2022-04-25 17:00:00.000,Played,335,187483,4426126,5
5345441,"Brøndby - Lyngby, 3 - 3",2022-10-02 16:00:00.000,2022-10-02 14:00:00.000,Played,335,188039,4426706,11
5227268,"Brøndby - Vejle, 3 - 2",2021-10-17 16:00:00.000,2021-10-17 14:00:00.000,Played,335,187483,4424291,12
5328110,"Silkeborg - Brøndby, 3 - 0",2022-04-10 16:00:00.000,2022-04-10 14:00:00.000,Played,335,187483,4426126,2
5452144,"Brøndby - AGF, 1 - 0",2023-04-16 18:00:00.000,2023-04-16 16:00:00.000,Played,335,188039,4428735,3
5575669,"Silkeborg - Brøndby, 0 - 2",2024-05-20 16:00:00.000,2024-05-20 14:00:00.000,Played,335,188945,4431692,9
5227220,"København - Brøndby, 4 - 2",2021-08-08 16:00:00.000,2021-08-08 14:00:00.000,Played,335,187483,4424291,4
5227251,"SønderjyskE - Brøndby, 1 - 0",2021-09-19 16:00:00.000,2021-09-19 14:00:00.000,Played,335,187483,4424291,9
5345429,"Brøndby - Randers, 2 - 2",2022-09-11 16:00:00.000,2022-09-11 14:00:00.000,Played,335,188039,4426706,9
5345510,"Nordsjælland - Brøndby, 2 - 1",2023-03-19 15:00:00.000,2023-03-19 14:00:00.000,Played,335,188039,4426706,22
5575663,"Brøndby - København, 1 - 3",2024-05-12 16:00:00.000,2024-05-12 14:00:00.000,Played,335,188945,4431692,7
5452155,"Brøndby - København, 1 - 3",2023-05-14 16:00:00.000,2023-05-14 14:00:00.000,Played,335,188039,4428735,7
5452152,"Randers - Brøndby, 1 - 3",2023-05-07 16:00:00.000,2023-05-07 14:00:00.000,Played,335,188039,4428735,6
5465986,"Randers - Brøndby, 2 - 2",2023-10-22 18:00:00.000,2023-10-22 16:00:00.000,Played,335,188945,4429397,12
5465990,"Brøndby - Nordsjælland, 2 - 1",2023-10-29 18:00:00.000,2023-10-29 17:00:00.000,Played,335,188945,4429397,13
5328115,"København - Brøndby, 2 - 0",2022-04-18 16:00:00.000,2022-04-18 14:00:00.000,Played,335,187483,4426126,4
5345417,"Brøndby - Midtjylland, 0 - 2",2022-08-29 19:00:00.000,2022-08-29 17:00:00.000,Played,335,188039,4426706,7
5465965,"Brøndby - København, 2 - 3",2023-09-24 14:00:00.000,2023-09-24 12:00:00.000,Played,335,188945,4429397,9
5345427,"Horsens - Brøndby, 0 - 2",2022-09-04 16:00:00.000,2022-09-04 14:00:00.000,Played,335,188039,4426706,8
5575657,"Nordsjælland - Brøndby, 1 - 1",2024-04-28 16:00:00.000,2024-04-28 14:00:00.000,Played,335,188945,4431692,5
5227229,"OB - Brøndby, 2 - 2",2021-08-21 18:00:00.000,2021-08-21 16:00:00.000,Played,335,187483,4424291,6
5465933,"Nordsjælland - Brøndby, 3 - 1",2023-08-06 18:00:00.000,2023-08-06 16:00:00.000,Played,335,188945,4429397,3
5465974,"Hvidovre - Brøndby, 0 - 3",2023-10-01 16:00:00.000,2023-10-01 14:00:00.000,Played,335,188945,4429397,10
5328114,"Brøndby - AaB, 0 - 1",2022-04-14 18:00:00.000,2022-04-14 16:00:00.000,Played,335,187483,4426126,3
5227319,"Brøndby - AGF, 1 - 1",2022-03-13 16:00:00.000,2022-03-13 15:00:00.000,Played,335,187483,4424291,21
5328131,"AaB - Brøndby, 1 - 3",2022-05-15 18:00:00.000,2022-05-15 16:00:00.000,Played,335,187483,4426126,9
5452137,"Brøndby - Viborg, 0 - 3",2023-04-02 16:00:00.000,2023-04-02 14:00:00.000,Played,335,188039,4428735,1
5227209,"Brøndby - Viborg, 1 - 1",2021-07-25 18:00:00.000,2021-07-25 16:00:00.000,Played,335,187483,4424291,2
5227298,"Brøndby - Randers, 1 - 0",2021-11-28 16:00:00.000,2021-11-28 15:00:00.000,Played,335,187483,4424291,17
5465956,"Brøndby - Randers, 3 - 1",2023-09-03 16:00:00.000,2023-09-03 14:00:00.000,Played,335,188945,4429397,7
5465978,"Brøndby - Viborg, 1 - 0",2023-10-08 16:00:00.000,2023-10-08 14:00:00.000,Played,335,188945,4429397,11
5466003,"København - Brøndby, 0 - 0",2023-11-12 12:00:00.000,2023-11-12 11:00:00.000,Played,335,188945,4429397,15
5575651,"AGF - Brøndby, 2 - 2",2024-04-14 16:00:00.000,2024-04-14 14:00:00.000,Played,335,188945,4431692,3
5575655,"Brøndby - Midtjylland, 2 - 1",2024-04-21 18:00:00.000,2024-04-21 16:00:00.000,Played,335,188945,4431692,4
5466044,"Brøndby - Silkeborg, 4 - 1",2024-03-17 17:00:00.000,2024-03-17 16:00:00.000,Played,335,188945,4429397,22
5345395,"Silkeborg - Brøndby, 2 - 0",2022-07-31 18:00:00.000,2022-07-31 16:00:00.000,Played,335,188039,4426706,3
5345451,"Randers - Brøndby, 2 - 3",2022-10-09 18:00:00.000,2022-10-09 16:00:00.000,Played,335,188039,4426706,12
5452166,"AGF - Brøndby, 3 - 3",2023-06-04 17:00:00.000,2023-06-04 15:00:00.000,Played,335,188039,4428735,10
5575645,"København - Brøndby, 1 - 2",2024-04-01 14:00:00.000,2024-04-01 12:00:00.000,Played,335,188945,4431692,1
5345459,"AGF - Brøndby, 2 - 2",2022-10-23 18:00:00.000,2022-10-23 16:00:00.000,Played,335,188039,4426706,14
5466013,"Brøndby - Hvidovre, 4 - 0",2023-12-03 16:00:00.000,2023-12-03 15:00:00.000,Played,335,188945,4429397,17
5328129,"Midtjylland - Brøndby, 2 - 2",2022-05-12 20:00:00.000,2022-05-12 18:00:00.000,Played,335,187483,4426126,8
